topic,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_us,United States,2020,total_pop,326569308,0,NA,NA
total_pop,2_msa,"Bangor, ME Metro Area",2020,total_pop,151696,0,NA,NA
total_pop,2_msa,"Barnstable Town, MA Metro Area",2020,total_pop,213505,0,NA,NA
total_pop,2_msa,"Boston-Cambridge-Newton, MA-NH Metro Area",2020,total_pop,4854808,0,NA,NA
total_pop,2_msa,"Bridgeport-Stamford-Norwalk, CT Metro Area",2020,total_pop,944306,0,NA,NA
total_pop,2_msa,"Burlington-South Burlington, VT Metro Area",2020,total_pop,219764,0,NA,NA
total_pop,2_msa,"Hartford-East Hartford-Middletown, CT Metro Area",2020,total_pop,1205842,0,NA,NA
total_pop,2_msa,"Lewiston-Auburn, ME Metro Area",2020,total_pop,107958,0,NA,NA
total_pop,2_msa,"Manchester-Nashua, NH Metro Area",2020,total_pop,415305,0,NA,NA
total_pop,2_msa,"New Haven-Milford, CT Metro Area",2020,total_pop,855733,0,NA,NA
total_pop,2_msa,"Norwich-New London, CT Metro Area",2020,total_pop,266868,0,NA,NA
total_pop,2_msa,"Pittsfield, MA Metro Area",2020,total_pop,125927,0,NA,NA
total_pop,2_msa,"Portland-South Portland, ME Metro Area",2020,total_pop,536314,0,NA,NA
total_pop,2_msa,"Providence-Warwick, RI-MA Metro Area",2020,total_pop,1621099,0,NA,NA
total_pop,2_msa,"Springfield, MA Metro Area",2020,total_pop,698537,0,NA,NA
total_pop,2_msa,"Worcester, MA-CT Metro Area",2020,total_pop,943312,0,NA,NA
total_pop,3_state,Connecticut,2020,total_pop,3570549,0,NA,NA
total_pop,4_county,Fairfield County,2020,total_pop,944306,0,NA,NA
total_pop,4_county,Hartford County,2020,total_pop,892153,0,NA,NA
total_pop,4_county,Litchfield County,2020,total_pop,181143,0,NA,NA
total_pop,4_county,Middlesex County,2020,total_pop,162742,0,NA,NA
total_pop,4_county,New Haven County,2020,total_pop,855733,0,NA,NA
total_pop,4_county,New London County,2020,total_pop,266868,0,NA,NA
total_pop,4_county,Tolland County,2020,total_pop,150947,0,NA,NA
total_pop,4_county,Windham County,2020,total_pop,116657,0,NA,NA
total_pop,5_region,6 wealthiest Fairfield County,2020,total_pop,123871,90,NA,NA
total_pop,5_region,Eastern cities,2020,total_pop,129365,76,NA,NA
total_pop,5_region,Greater Bridgeport,2020,total_pop,321760,114,NA,NA
total_pop,5_region,Greater Danbury,2020,total_pop,264375,351,NA,NA
total_pop,5_region,Greater Danbury other towns,2020,total_pop,152832,340,NA,NA
total_pop,5_region,Greater Hartford,2020,total_pop,970597,367,NA,NA
