level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
3_state,Connecticut,3570549,735584,0.21,615466,0.17,1741688,0.49,1828861,0.51,2357942,0.66,352036,0.1,587212,0.16,273359,0.08,521384,0.15,1385437,915408,0.66,475395,0.35,1267082,0.91,2489205,225550,0.09,996000,0.4,79855,3466935,339156,0.1,772414,0.22,726564,94665,0.13,212862,0.29,595226,42641,0.07,124525,0.21
4_county,Fairfield County,944306,212144,0.22,150147,0.16,459827,0.49,484479,0.51,576391,0.61,99724,0.11,189215,0.2,78976,0.08,206892,0.22,345070,230123,0.67,131862,0.39,319567,0.93,646052,63181,0.1,316013,0.49,97539,926873,82718,0.09,191082,0.21,209799,24277,0.12,55432,0.26,145732,10093,0.07,27605,0.19
4_county,Hartford County,892153,187444,0.21,152812,0.17,433262,0.49,458891,0.51,536165,0.6,114203,0.13,163969,0.18,77816,0.09,136851,0.15,353653,226863,0.64,115205,0.33,317667,0.9,624179,62425,0.1,240369,0.39,76259,871495,94465,0.11,205980,0.24,185303,27213,0.15,58747,0.32,147773,13086,0.09,34316,0.23
4_county,Litchfield County,181143,32925,0.18,38580,0.21,89565,0.49,91578,0.51,158675,0.88,2742,0.02,12023,0.07,7703,0.04,13678,0.08,74902,57002,0.76,23550,0.32,70961,0.95,134696,8321,0.06,48299,0.36,81590,178814,13037,0.07,31190,0.17,32149,2784,0.09,6625,0.21,37626,1831,0.05,6753,0.18
4_county,Middlesex County,162742,28742,0.18,33127,0.2,79487,0.49,83255,0.51,135279,0.83,7970,0.05,10426,0.06,9067,0.06,12721,0.08,67765,49826,0.74,21180,0.32,64374,0.95,119739,6340,0.05,51145,0.43,84907,157562,11134,0.07,25874,0.16,28564,2378,0.08,5422,0.19,31791,1944,0.06,5769,0.18
4_county,New Haven County,855733,173017,0.2,148857,0.17,412404,0.48,443329,0.52,529955,0.62,107033,0.13,159144,0.19,59601,0.07,111518,0.13,332765,206810,0.62,120185,0.37,295631,0.89,598060,57791,0.1,215189,0.36,71370,829315,92566,0.11,209667,0.25,171047,27107,0.16,59873,0.35,143572,10722,0.07,32718,0.23
4_county,New London County,266868,52007,0.19,48749,0.18,133718,0.5,133150,0.5,199587,0.75,13792,0.05,29560,0.11,23929,0.09,23072,0.09,109616,73565,0.67,33349,0.31,102848,0.94,188088,13538,0.07,64656,0.34,75831,255313,21610,0.08,56173,0.22,51310,6324,0.12,15036,0.29,47128,2481,0.05,9466,0.2
4_county,Tolland County,150947,26175,0.17,23874,0.16,75699,0.5,75248,0.5,126330,0.84,4272,0.03,8669,0.06,11676,0.08,11205,0.07,56077,40181,0.72,15864,0.29,53515,0.95,96523,5063,0.05,40924,0.42,87809,136016,10746,0.08,24409,0.18,25651,1208,0.05,4136,0.16,23136,1020,0.04,3813,0.16
4_county,Windham County,116657,23130,0.2,19320,0.17,57726,0.49,58931,0.51,95560,0.82,2300,0.02,14206,0.12,4591,0.04,5447,0.05,45589,31038,0.68,14200,0.32,42519,0.93,81868,8891,0.11,19405,0.24,67365,111547,12880,0.12,28039,0.25,22741,3374,0.15,7591,0.33,18468,1464,0.08,4085,0.22
5_region,6 wealthiest Fairfield County,123871,35160,0.28,19857,0.16,60385,0.49,63486,0.51,105097,0.85,1391,0.01,6328,0.05,11055,0.09,16264,0.13,42543,36792,0.86,13515,0.32,41619,0.98,80806,1579,0.02,63290,0.78,NA,123269,3619,0.03,8879,0.07,35100,869,0.02,2433,0.07,19503,618,0.03,1714,0.09
